,1Wc1,1KWc1,MWEc1,CPMc1,CWHc1,YWMc1,YWKc1,MWBWX,BL2c1,AGRc1,WEAc1,NWTc1,LWBc1
2020-10-08,234.64215007040218,234.64215007040218,234.64215007040218,234.3823449442323,234.64215007040218,234.64215007040218,234.64215007040218,234.3823449442323,234.3823449442323,234.3823449442323,234.3823449442323,233.6142442803834,234.3823449442323
2020-10-09,234.86732396935557,234.86732396935557,234.86732396935557,234.64215007040218,234.86732396935557,234.86732396935557,234.86732396935557,234.64215007040218,234.64215007040218,234.64215007040218,234.64215007040218,233.8034241737128,234.64215007040218
2020-10-10,235.26069511485167,235.26069511485167,235.26069511485167,234.86732396935557,235.26069511485167,235.26069511485167,235.26069511485167,234.86732396935557,234.86732396935557,234.86732396935557,234.86732396935557,234.06911046813934,234.86732396935557
2020-10-11,235.3775222934645,235.3775222934645,235.3775222934645,235.26069511485167,235.3775222934645,235.3775222934645,235.3775222934645,235.26069511485167,235.26069511485167,235.26069511485167,235.26069511485167,234.3823449442323,235.26069511485167
2020-10-12,235.5374957715629,235.5374957715629,235.5374957715629,235.3775222934645,235.5374957715629,235.5374957715629,235.5374957715629,235.3775222934645,235.3775222934645,235.3775222934645,235.3775222934645,234.64215007040218,235.3775222934645
2020-10-13,235.77438619502297,235.77438619502297,235.77438619502297,235.5374957715629,235.77438619502297,235.77438619502297,235.77438619502297,235.5374957715629,235.5374957715629,235.5374957715629,235.5374957715629,234.86732396935557,235.5374957715629
2020-10-14,236.05872092300564,236.05872092300564,236.05872092300564,235.77438619502297,236.05872092300564,236.05872092300564,236.05872092300564,235.77438619502297,235.77438619502297,235.77438619502297,235.77438619502297,235.26069511485167,235.77438619502297
2020-10-15,236.28907605583333,236.28907605583333,236.28907605583333,236.05872092300564,236.28907605583333,236.28907605583333,236.28907605583333,236.05872092300564,236.05872092300564,236.05872092300564,236.05872092300564,235.3775222934645,236.05872092300564
2020-10-16,236.48389011772966,236.48389011772966,236.48389011772966,236.28907605583333,236.48389011772966,236.48389011772966,236.48389011772966,236.28907605583333,236.28907605583333,236.28907605583333,236.28907605583333,235.5374957715629,236.28907605583333
2020-10-17,236.84573486730335,236.84573486730335,236.84573486730335,236.48389011772966,236.84573486730335,236.84573486730335,236.84573486730335,236.48389011772966,236.48389011772966,236.48389011772966,236.48389011772966,235.77438619502297,236.48389011772966
2020-10-18,236.92972825173737,236.92972825173737,236.92972825173737,236.84573486730335,236.92972825173737,236.92972825173737,236.92972825173737,236.84573486730335,236.84573486730335,236.84573486730335,236.84573486730335,236.05872092300564,236.84573486730335
2020-10-19,237.0555450060595,237.0555450060595,237.0555450060595,236.92972825173737,237.0555450060595,237.0555450060595,237.0555450060595,236.92972825173737,236.92972825173737,236.92972825173737,236.92972825173737,236.28907605583333,236.92972825173737
2020-10-20,237.25707108062144,237.25707108062144,237.25707108062144,237.0555450060595,237.25707108062144,237.25707108062144,237.25707108062144,237.0555450060595,237.0555450060595,237.0555450060595,237.0555450060595,236.48389011772966,237.0555450060595
2020-10-21,237.50508135967678,237.50508135967678,237.50508135967678,237.25707108062144,237.50508135967678,237.50508135967678,237.50508135967678,237.25707108062144,237.25707108062144,237.25707108062144,237.25707108062144,236.84573486730335,237.25707108062144
2020-10-22,237.6985288078658,237.6985288078658,237.6985288078658,237.50508135967678,237.6985288078658,237.6985288078658,237.6985288078658,237.50508135967678,237.50508135967678,237.50508135967678,237.50508135967678,236.92972825173737,237.50508135967678
2020-10-23,237.856351002585,237.856351002585,237.856351002585,237.6985288078658,237.856351002585,237.856351002585,237.856351002585,237.6985288078658,237.6985288078658,237.6985288078658,237.6985288078658,237.0555450060595,237.6985288078658
2020-10-24,238.18172964532974,238.18172964532974,238.18172964532974,237.856351002585,238.18172964532974,238.18172964532974,238.18172964532974,237.856351002585,237.856351002585,237.856351002585,237.856351002585,237.25707108062144,237.856351002585
2020-10-25,238.23048830961372,238.23048830961372,238.23048830961372,238.18172964532974,238.23048830961372,238.23048830961372,238.23048830961372,238.18172964532974,238.18172964532974,238.18172964532974,238.18172964532974,237.50508135967678,238.18172964532974
2020-10-26,238.3230842851737,238.3230842851737,238.3230842851737,238.23048830961372,238.3230842851737,238.3230842851737,238.3230842851737,238.23048830961372,238.23048830961372,238.23048830961372,238.23048830961372,237.6985288078658,238.23048830961372
2020-10-27,238.49424116817528,238.49424116817528,238.49424116817528,238.3230842851737,238.49424116817528,238.49424116817528,238.49424116817528,238.3230842851737,238.3230842851737,238.3230842851737,238.3230842851737,237.856351002585,238.3230842851737
2020-10-28,238.71560222376112,238.71560222376112,238.71560222376112,238.49424116817528,238.71560222376112,238.71560222376112,238.71560222376112,238.49424116817528,238.49424116817528,238.49424116817528,238.49424116817528,238.18172964532974,238.49424116817528
