,2HRW-USG-A1,2SRW-USG-A1,JCI-WHT-SHHAI,JCI-WHT-GZHOU,BRSB-APW1-CY1,ALBN-AGP1-CY1,ALBN-ASW1-CY1,ALBN-AUH2-CY1,W-FOBROUEN-P1,W-RENLPL-P1,W-FOBBLTNC-E14,W-NGP-308,KTS-W11UABS-FOB,KTS-W12UABS-FOB,KTS-W11RUBS-FOB,KTS-W12RUBS-FOB
2020-11-01,249.7146902812951,249.7146902812951,249.7146902812951,249.7146902812951,250.11649407740796,250.11649407740796,250.11649407740796,250.11649407740796,249.7146902812951,249.7146902812951,249.7146902812951,249.15386005853233,249.15386005853233,249.15386005853233,249.15386005853233,249.15386005853233
2020-11-02,250.11649407740796,250.11649407740796,250.11649407740796,250.11649407740796,250.49665576374926,250.49665576374926,250.49665576374926,250.49665576374926,250.11649407740796,250.11649407740796,250.11649407740796,249.39436543502902,249.39436543502902,249.39436543502902,249.39436543502902,249.39436543502902
2020-11-03,250.49665576374926,250.49665576374926,250.49665576374926,250.49665576374926,250.81408196419372,250.81408196419372,250.81408196419372,250.81408196419372,250.49665576374926,250.49665576374926,250.49665576374926,249.6726337566803,249.6726337566803,249.6726337566803,249.6726337566803,249.6726337566803
2020-11-04,250.81408196419372,250.81408196419372,250.81408196419372,250.81408196419372,251.15218902070998,251.15218902070998,251.15218902070998,251.15218902070998,250.81408196419372,250.81408196419372,250.81408196419372,249.7146902812951,249.7146902812951,249.7146902812951,249.7146902812951,249.7146902812951
2020-11-05,251.15218902070998,251.15218902070998,251.15218902070998,251.15218902070998,251.5039505732643,251.5039505732643,251.5039505732643,251.5039505732643,251.15218902070998,251.15218902070998,251.15218902070998,250.11649407740796,250.11649407740796,250.11649407740796,250.11649407740796,250.11649407740796
2020-11-06,251.5039505732643,251.5039505732643,251.5039505732643,251.5039505732643,251.90273650869264,251.90273650869264,251.90273650869264,251.90273650869264,251.5039505732643,251.5039505732643,251.5039505732643,250.49665576374926,250.49665576374926,250.49665576374926,250.49665576374926,250.49665576374926
2020-11-07,251.90273650869264,251.90273650869264,251.90273650869264,251.90273650869264,252.07147819932277,252.07147819932277,252.07147819932277,252.07147819932277,251.90273650869264,251.90273650869264,251.90273650869264,250.81408196419372,250.81408196419372,250.81408196419372,250.81408196419372,250.81408196419372
2020-11-08,252.07147819932277,252.07147819932277,252.07147819932277,252.07147819932277,252.60334964221613,252.60334964221613,252.60334964221613,252.60334964221613,252.07147819932277,252.07147819932277,252.07147819932277,251.15218902070998,251.15218902070998,251.15218902070998,251.15218902070998,251.15218902070998
2020-11-09,252.60334964221613,252.60334964221613,252.60334964221613,252.60334964221613,253.1145419627383,253.1145419627383,253.1145419627383,253.1145419627383,252.60334964221613,252.60334964221613,252.60334964221613,251.5039505732643,251.5039505732643,251.5039505732643,251.5039505732643,251.5039505732643
2020-11-10,253.1145419627383,253.1145419627383,253.1145419627383,253.1145419627383,253.56194846702408,253.56194846702408,253.56194846702408,253.56194846702408,253.1145419627383,253.1145419627383,253.1145419627383,251.90273650869264,251.90273650869264,251.90273650869264,251.90273650869264,251.90273650869264
2020-11-11,253.56194846702408,253.56194846702408,253.56194846702408,253.56194846702408,254.02740212865837,254.02740212865837,254.02740212865837,254.02740212865837,253.56194846702408,253.56194846702408,253.56194846702408,252.07147819932277,252.07147819932277,252.07147819932277,252.07147819932277,252.07147819932277
2020-11-12,254.02740212865837,254.02740212865837,254.02740212865837,254.02740212865837,254.502730022917,254.502730022917,254.502730022917,254.502730022917,254.02740212865837,254.02740212865837,254.02740212865837,252.60334964221613,252.60334964221613,252.60334964221613,252.60334964221613,252.60334964221613
2020-11-13,254.502730022917,254.502730022917,254.502730022917,254.502730022917,255.02058266847692,255.02058266847692,255.02058266847692,255.02058266847692,254.502730022917,254.502730022917,254.502730022917,253.1145419627383,253.1145419627383,253.1145419627383,253.1145419627383,253.1145419627383
2020-11-14,255.02058266847692,255.02058266847692,255.02058266847692,255.02058266847692,255.30357418363678,255.30357418363678,255.30357418363678,255.30357418363678,255.02058266847692,255.02058266847692,255.02058266847692,253.56194846702408,253.56194846702408,253.56194846702408,253.56194846702408,253.56194846702408
2020-11-15,255.30357418363678,255.30357418363678,255.30357418363678,255.30357418363678,255.94492434121813,255.94492434121813,255.94492434121813,255.94492434121813,255.30357418363678,255.30357418363678,255.30357418363678,254.02740212865837,254.02740212865837,254.02740212865837,254.02740212865837,254.02740212865837
2020-11-16,255.94492434121813,255.94492434121813,255.94492434121813,255.94492434121813,256.56118189017855,256.56118189017855,256.56118189017855,256.56118189017855,255.94492434121813,255.94492434121813,255.94492434121813,254.502730022917,254.502730022917,254.502730022917,254.502730022917,254.502730022917
2020-11-17,256.56118189017855,256.56118189017855,256.56118189017855,256.56118189017855,257.10984859498586,257.10984859498586,257.10984859498586,257.10984859498586,256.56118189017855,256.56118189017855,256.56118189017855,255.02058266847692,255.02058266847692,255.02058266847692,255.02058266847692,255.02058266847692
2020-11-18,257.10984859498586,257.10984859498586,257.10984859498586,257.10984859498586,257.6735484273426,257.6735484273426,257.6735484273426,257.6735484273426,257.10984859498586,257.10984859498586,257.10984859498586,255.30357418363678,255.30357418363678,255.30357418363678,255.30357418363678,255.30357418363678
2020-11-19,257.6735484273426,257.6735484273426,257.6735484273426,257.6735484273426,258.24500916825224,258.24500916825224,258.24500916825224,258.24500916825224,257.6735484273426,257.6735484273426,257.6735484273426,255.94492434121813,255.94492434121813,255.94492434121813,255.94492434121813,255.94492434121813
2020-11-20,258.24500916825224,258.24500916825224,258.24500916825224,258.24500916825224,258.8578172278025,258.8578172278025,258.8578172278025,258.8578172278025,258.24500916825224,258.24500916825224,258.24500916825224,256.56118189017855,256.56118189017855,256.56118189017855,256.56118189017855,256.56118189017855
2020-11-21,258.8578172278025,258.8578172278025,258.8578172278025,258.8578172278025,259.23548444513295,259.23548444513295,259.23548444513295,259.23548444513295,258.8578172278025,258.8578172278025,258.8578172278025,257.10984859498586,257.10984859498586,257.10984859498586,257.10984859498586,257.10984859498586
2020-11-22,259.23548444513295,259.23548444513295,259.23548444513295,259.23548444513295,259.9720207220519,259.9720207220519,259.9720207220519,259.9720207220519,259.23548444513295,259.23548444513295,259.23548444513295,257.6735484273426,257.6735484273426,257.6735484273426,257.6735484273426,257.6735484273426
2020-11-23,259.9720207220519,259.9720207220519,259.9720207220519,259.9720207220519,260.68459445096823,260.68459445096823,260.68459445096823,260.68459445096823,259.9720207220519,259.9720207220519,259.9720207220519,258.24500916825224,258.24500916825224,258.24500916825224,258.24500916825224,258.24500916825224
2020-11-24,260.68459445096823,260.68459445096823,260.68459445096823,260.68459445096823,261.33110252027217,261.33110252027217,261.33110252027217,261.33110252027217,260.68459445096823,260.68459445096823,260.68459445096823,258.8578172278025,258.8578172278025,258.8578172278025,258.8578172278025,258.8578172278025
2020-11-25,261.33110252027217,261.33110252027217,261.33110252027217,261.33110252027217,261.9942963281415,261.9942963281415,261.9942963281415,261.9942963281415,261.33110252027217,261.33110252027217,261.33110252027217,259.23548444513295,259.23548444513295,259.23548444513295,259.23548444513295,259.23548444513295
2020-11-26,261.9942963281415,261.9942963281415,261.9942963281415,261.9942963281415,262.6667326600968,262.6667326600968,262.6667326600968,262.6667326600968,261.9942963281415,261.9942963281415,261.9942963281415,259.9720207220519,259.9720207220519,259.9720207220519,259.9720207220519,259.9720207220519
2020-11-27,262.6667326600968,262.6667326600968,262.6667326600968,262.6667326600968,263.3815113852958,263.3815113852958,263.3815113852958,263.3815113852958,262.6667326600968,262.6667326600968,262.6667326600968,260.68459445096823,260.68459445096823,260.68459445096823,260.68459445096823,260.68459445096823
2020-11-28,263.3815113852958,263.3815113852958,263.3815113852958,263.3815113852958,263.86133939666587,263.86133939666587,263.86133939666587,263.86133939666587,263.3815113852958,263.3815113852958,263.3815113852958,261.33110252027217,261.33110252027217,261.33110252027217,261.33110252027217,261.33110252027217
2020-11-29,263.86133939666587,263.86133939666587,263.86133939666587,263.86133939666587,264.69911480592725,264.69911480592725,264.69911480592725,264.69911480592725,263.86133939666587,263.86133939666587,263.86133939666587,261.9942963281415,261.9942963281415,261.9942963281415,261.9942963281415,261.9942963281415
2020-11-30,264.69911480592725,264.69911480592725,264.69911480592725,264.69911480592725,265.5106130036162,265.5106130036162,265.5106130036162,265.5106130036162,264.69911480592725,264.69911480592725,264.69911480592725,262.6667326600968,262.6667326600968,262.6667326600968,262.6667326600968,262.6667326600968
2020-12-01,265.5106130036162,265.5106130036162,265.5106130036162,265.5106130036162,266.25209552124636,266.25209552124636,266.25209552124636,266.25209552124636,265.5106130036162,265.5106130036162,265.5106130036162,263.3815113852958,263.3815113852958,263.3815113852958,263.3815113852958,263.3815113852958
2020-12-02,266.25209552124636,266.25209552124636,266.25209552124636,266.25209552124636,267.00448681433767,267.00448681433767,267.00448681433767,267.00448681433767,266.25209552124636,266.25209552124636,266.25209552124636,263.86133939666587,263.86133939666587,263.86133939666587,263.86133939666587,263.86133939666587
2020-12-03,267.00448681433767,267.00448681433767,267.00448681433767,267.00448681433767,267.75838608682,267.75838608682,267.75838608682,267.75838608682,267.00448681433767,267.00448681433767,267.00448681433767,264.69911480592725,264.69911480592725,264.69911480592725,264.69911480592725,264.69911480592725
