,2HRW-USG-A1,2SRW-USG-A1,JCI-WHT-SHHAI,JCI-WHT-GZHOU,BRSB-APW1-CY1,ALBN-AGP1-CY1,ALBN-ASW1-CY1,ALBN-AUH2-CY1,W-FOBROUEN-P1,W-RENLPL-P1,W-FOBBLTNC-E14,W-NGP-308,KTS-W11UABS-FOB,KTS-W12UABS-FOB,KTS-W11RUBS-FOB,KTS-W12RUBS-FOB
2020-10-22,261.56627891035873,261.2000108312132,376.54313847719527,383.2521650424693,182.24645113635736,196.5286606778702,202.65253878665027,201.72100067075476,232.51616020185236,231.17104433076796,253.3344961827811,387.09297191599234,248.0545225073193,242.67049801260865,240.97429488542772,237.46794479842583
2020-10-23,261.9208911242655,261.71613093802944,376.7633943695266,383.50291606037797,181.9149263085495,195.9063821664997,202.07446517508654,201.15966758773322,232.21095469026474,231.16234484136513,252.93065424364764,387.69555091234207,248.15603608278542,242.68616283879356,240.85269448971698,237.40027799270172
2020-10-24,262.50992012238555,262.2695782346199,377.17393166103733,383.9397640433435,179.76069122052277,195.71757884551505,201.81950948875675,200.94658226874276,232.81011584771127,231.63591740743354,253.7646058313579,388.19232638259996,248.77967456238292,243.19777969739312,241.474421513561,237.86151735203813
2020-10-25,262.6281836437172,262.76795372372516,377.4160507673788,384.1770111161483,179.6755549517797,195.86344285769837,201.9298230074712,201.06409625401304,233.2974823966581,232.08720238100346,252.57369357693386,388.41674415982203,249.14456513555348,243.37198097622243,241.7434267208419,237.932978719073
2020-10-26,262.4338769716851,262.4064569870177,377.622139766125,384.4402922471216,179.5282730457952,195.69092885076432,201.71392543513346,200.8506120997774,233.21381773192047,231.95494845463443,254.40206738172185,388.4299869163943,250.11272498923444,244.14397145310127,242.2251077814046,238.40418762405477
2020-10-27,262.7619355450605,262.92630162367107,377.8432596626638,384.69182062295056,179.1924786618929,195.05698691497324,201.06113818497613,200.2917009885052,232.9147696605747,231.94696331378935,253.99511788313947,389.0346692659732,250.20769827833948,244.15627418990653,242.10391146047016,238.3351098376886
2020-10-28,263.49341377620544,263.49708611866487,378.255827634399,385.1300228865179,177.02657346097348,194.87894012626234,200.8471800997017,200.07953555499603,233.5047465268037,232.4211758441931,254.84364263632767,389.53308516092176,250.83573952117536,244.67031196876633,242.73298797668213,238.7979750344497
2020-10-29,263.6518782253657,263.99875588514925,378.49908737349995,385.36800545341026,176.9102480975811,195.03844852282347,200.895935357416,200.19654264566643,233.994720856793,232.87369885977273,253.61913169611424,389.7582808467705,251.20293427228017,244.84476025738732,243.01587639982904,238.87053592497915
2020-10-30,263.4910699750233,263.6381921636625,378.70662406876255,385.6321027871417,176.7868486890018,194.86933068859747,200.65483278086967,199.98397982184784,233.90942816235523,232.74082420149574,255.48766340717322,389.7716009871629,252.18169594637817,245.62415709038035,243.51920845950428,239.34413215165125
2020-10-31,263.8457083447073,264.15951152068067,378.92825195794506,385.88441093079246,176.47690130163377,194.2353547076768,200.08186720612505,199.4274803899817,233.61117861839685,232.73247470647647,255.0840691853363,390.37832120356103,252.28110719560414,245.63863723029914,243.3952664912336,239.27537422337628
